2019-05-17 11:03:43,850 - DEBUG - %s)
2019-05-17 11:03:43,850 - INFO - %s)
2019-05-17 11:03:43,850 - WARNING - %s)
2019-05-17 11:03:43,850 - ERROR - %s)
2019-05-17 11:03:43,857 - CRITICAL - %s)
2019-05-17 11:05:28,311 - DEBUG - %s)
2019-05-17 11:05:28,312 - INFO - %s)
2019-05-17 11:05:28,312 - WARNING - %s)
2019-05-17 11:05:28,312 - ERROR - %s)
2019-05-17 11:05:28,313 - CRITICAL - %s)
2019-05-17 11:06:46,554 - DEBUG - %s)
2019-05-17 11:06:46,554 - INFO - %s)
2019-05-17 11:06:46,554 - WARNING - %s)
2019-05-17 11:06:46,554 - ERROR - %s)
2019-05-17 11:06:46,554 - CRITICAL - %s)
